stock_no,stock_name,obs_day,average_stock_p,trade_day,no_trade_day,return_rate,mse,rmse,mape,r2,current_stock_price,yesterday_stock_price,predict_state,predict_stock_price,rmse_10,rmse_20,mape_10,mape_20,risk,last_update_date,error_data,last_training_date
2881,富邦金,365,59.42,214,150,2.58,1.5,1.22,1.2,0.99,60.5,61.8,2,64.51000213623047,11.204091401873802,8.042251637919964,14.845947163170143,8.41939023428092,1.4517140504281572,111/06/8,crawl_error,111/06/8
2882,國泰金,365,48.62,234,130,2.78,0.654,0.81,1.02,0.99,52.3,52.9,2,53.529998779296875,6.066062336994815,4.748059306789131,9.598459852095528,6.974296397074982,1.0226256196158676,111/06/8,crawl_error,111/06/8
2884,玉山金,365,26.26,154,210,1.34,0.07,0.27,0.68,0.94,29.45,28.9,0,29.350000381469727,1.6196852883190722,3.75383724258373,5.584149663626622,11.81702828775717,0.6410261099863331,111/06/8,crawl_error,111/06/8
2885,元大金,365,22.19,238,126,2.93,0.1,0.32,1.0,0.99,23.9,23.45,2,24.420000076293945,0.9934134330030958,1.303838282228698,3.466543035034918,4.686585970698004,0.3463626787966017,111/06/8,crawl_error,111/06/8
2886,兆豐金,365,31.31,220,144,1.59,0.09,0.29,0.63,0.98,37.2,37.1,0,37.11000061035156,1.7555307658824046,4.897113650962594,4.470495883791202,11.826293263579842,0.6471140385954923,111/06/8,crawl_error,111/06/8
2887,台新金,365,14.95,229,135,3.31,0.04,0.2,0.83,0.99,17.05,17.05,1,16.6200008392334,1.7427046629848586,1.315608124033602,9.098592676553604,6.183289583819452,0.30526088928376627,111/06/8,crawl_error,111/06/8
2891,中信金,365,21.31,225,139,2.49,0.06,0.25,0.8,0.99,25.45,25.45,0,25.549999237060547,0.9452620453188567,2.7917619764799864,2.982835737989018,8.884151920968899,0.4804055304471531,111/06/8,crawl_error,111/06/8
2892,第一金,365,22.07,197,167,1.76,0.05,0.22,0.69,0.96,26.55,26.25,1,25.610000610351562,1.843455949390059,3.050313713411991,7.442073379528629,11.880051758571401,0.3985087333124781,111/06/8,crawl_error,111/06/8
2912,統一超,365,273.11,207,157,1.82,9.42,3.07,0.83,0.88,269.5,269.5,2,279.17999267578125,8.262524458204531,6.150143388277429,2.7403656472966906,1.7907247475958807,4.799876643151746,111/06/8,crawl_error,111/06/8
3008,大立光,365,3019.34,278,86,8.43,5704.6,75.53,1.83,0.98,1655.0,1620.0,1,1597.22998046875,625.5404526517929,510.0196530560075,26.675872110930086,22.149300292101547,26.520845822821993,111/06/8,crawl_error,111/06/8
3034,聯詠,365,413.83,274,90,5.49,172.79,13.14,2.28,0.99,400.0,387.5,2,475.5899963378906,131.8718303425734,118.45618980404493,25.10545740346104,22.893225283020424,8.477330451206168,111/06/8,crawl_error,111/06/8
3045,台灣大,365,100.31,202,162,1.55,0.76,0.87,0.58,0.94,108.0,108.5,0,108.20999908447266,8.318468942289273,8.784892900086977,8.389222909140878,8.823376002405595,0.8094832659757314,111/06/8,crawl_error,111/06/8
3711,日月光投控,365,98.84,283,81,8.51,10.71,3.27,2.29,0.97,101.0,98.6,2,109.22000122070312,7.548943025443878,6.699008945193562,7.112573698382881,6.097372508394113,1.6855422366641983,111/06/8,crawl_error,111/06/8
4904,遠傳,365,62.56,212,152,1.94,0.289,0.54,0.59,0.93,81.4,83.0,2,82.4000015258789,17.880821312459577,17.540738711070095,28.124333663848137,27.71040011742794,1.1467459682900452,111/06/8,crawl_error,111/06/8
4938,和碩,365,68.16,339,26,1.07,1.32,1.15,1.12,0.93,65.3,65.3,2,67.55000305175781,3.2574579349363257,3.4542689806937763,4.200847561274319,4.722575957471166,0.9869010508711228,111/06/8,crawl_error,111/06/8
5871,中租,365,190.21,216,148,3.0,16.96,4.12,1.58,0.99,205.5,205.0,2,218.22999572753906,49.426790790216614,36.91939380660598,19.32551202918789,12.541558611417287,6.621535837107979,111/06/8,crawl_error,111/06/8
5876,上海商銀,365,43.0,227,137,2.5,0.35,0.59,0.97,0.96,49.65,48.2,1,46.58000183105469,1.235471450828166,1.390764276349668,2.206259040350539,2.1835140097787464,0.8934667843500631,111/06/8,crawl_error,111/06/8
5880,合庫金,365,21.14,208,156,1.71,0.038,0.19,0.65,0.98,27.25,27.15,1,26.68000030517578,1.3875229175771704,3.070158627167629,4.9256235409414515,10.808693019105874,0.5115507897817341,111/06/8,crawl_error,111/06/8
6415,矽力-KY,365,3247.9,268,96,27.68,16347.1,127.86,2.97,0.98,2860.0,2870.0,2,2895.35009765625,1078.0110748166953,1097.539206561846,28.32150044800232,28.650447697798516,125.46204081000168,111/06/8,crawl_error,111/06/8
6505,台塑化,365,95.1,217,147,4.41,2.69,1.64,1.27,0.96,94.6,94.4,2,98.83000183105469,4.569426803669429,5.568689671237358,4.710620281655411,5.601221114654921,1.2414338060230365,111/06/8,crawl_error,111/06/8
6669,緯穎,365,879.21,303,61,34.86,788.02,28.07,2.48,0.94,808.0,791.0,2,998.8499755859375,48.02786126266734,43.1426117845741,3.8391417747346877,3.548433830155033,27.52850197618155,111/06/8,crawl_error,111/06/8
8046,南電,365,308.56,272,92,11.5,189.38,13.76,3.32,0.99,376.5,368.0,2,472.92999267578125,169.94182591329948,170.91691045511075,29.72870194235666,29.610601126809872,10.650271802807861,111/06/8,crawl_error,111/06/8
9910,豐泰,365,201.56,260,214,3.08,20.71,4.55,1.63,0.95,175.0,175.5,2,181.3800048828125,44.60620059621366,36.26530448924835,19.99932393933877,15.336536603453045,4.310330308505492,111/06/8,crawl_error,111/06/8
