,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
7,107/12/12,20516667,313483280,15.3,15.35,15.25,15.25,0.05,3841
6,107/12/11,21842314,332524202,15.15,15.35,15.1,15.2,0.1,4998
5,107/12/10,21623213,326991013,15.1,15.2,15.05,15.1,-0.2,4150
4,107/12/07,16685491,253968126,15.2,15.3,15.1,15.3,0.1,2601
3,107/12/06,35264052,535880495,15.3,15.35,15.1,15.2,-0.1,4794
2,107/12/05,21567712,331139804,15.45,15.45,15.3,15.3,-0.35,3334
1,107/12/04,42536221,666537981,15.65,15.75,15.55,15.65,-0.05,5885
0,107/12/03,57355935,901855447,15.75,15.8,15.6,15.7,0.0,6531
21,107/11/30,34865147,546055477,15.6,15.7,15.55,15.7,0.1,4458
20,107/11/29,24015477,372867131,15.55,15.6,15.45,15.6,0.15,5610
19,107/11/28,22065675,340317153,15.4,15.5,15.3,15.45,0.1,5859
18,107/11/27,23140594,353956768,15.3,15.4,15.2,15.35,0.05,4064
17,107/11/26,26528201,409111353,15.4,15.65,15.3,15.3,-0.05,4441
16,107/11/23,13849791,212735085,15.4,15.45,15.3,15.35,-0.05,4216
15,107/11/22,12128952,187024696,15.45,15.5,15.35,15.4,0.0,2913
14,107/11/21,19449668,300289666,15.5,15.55,15.35,15.4,-0.15,4553
13,107/11/20,21384841,333425920,15.75,15.8,15.45,15.55,-0.25,3649
12,107/11/19,23123691,365308360,15.8,15.85,15.75,15.8,0.05,6187
11,107/11/16,21072650,330714397,15.8,15.85,15.6,15.75,0.0,6904
10,107/11/15,27750956,434986065,15.65,15.8,15.55,15.75,0.15,5865
9,107/11/14,22135887,344236160,15.5,15.6,15.4,15.6,0.2,5010
8,107/11/13,15826651,242973307,15.3,15.45,15.25,15.4,-0.15,4593
7,107/11/12,16377004,255063133,15.5,15.75,15.45,15.55,0.0,3707
6,107/11/09,13390438,207460083,15.6,15.6,15.4,15.55,-0.05,4006
5,107/11/08,17685272,275571506,15.65,15.7,15.5,15.6,0.05,4020
4,107/11/07,21389321,331354400,15.4,15.6,15.35,15.55,0.15,4630
3,107/11/06,14978308,230757227,15.5,15.5,15.3,15.4,0.05,3059
2,107/11/05,13106433,199761605,15.1,15.35,15.05,15.35,0.15,3103
1,107/11/02,14187961,214223075,15.1,15.2,14.95,15.2,0.25,2874
0,107/11/01,14525463,217309043,15.0,15.05,14.9,14.95,-0.05,2250
21,107/10/31,15964167,237908565,14.75,15.0,14.7,15.0,0.4,2901
20,107/10/30,9330124,136444934,14.7,14.75,14.55,14.6,0.0,2027
19,107/10/29,12004609,177446926,15.1,15.1,14.6,14.6,0.05,2221
18,107/10/26,17544461,255455325,14.7,14.75,14.45,14.55,0.0,2829
17,107/10/25,26241064,383084900,14.75,14.8,14.5,14.55,-0.45,3345
16,107/10/24,22293452,332578357,14.9,15.05,14.75,15.0,0.05,4150
15,107/10/23,34876347,522045759,14.9,15.15,14.8,14.95,-0.05,2817
14,107/10/22,7199380,107394155,14.8,15.0,14.8,15.0,0.2,1495
13,107/10/19,20877974,310368492,14.75,15.05,14.65,14.8,-0.05,2890
12,107/10/18,9666529,142773724,14.65,14.85,14.65,14.85,0.15,2409
11,107/10/17,13673167,202001780,14.8,14.85,14.7,14.7,0.15,3379
10,107/10/16,11526610,167484129,14.5,14.65,14.45,14.55,0.0,2298
9,107/10/15,26997321,395380029,14.9,14.95,14.5,14.55,-0.4,5190
8,107/10/12,27553941,409700965,14.75,15.1,14.6,14.95,0.0,5256
7,107/10/11,58225459,888791478,15.7,15.7,14.95,14.95,-0.95,8899
6,107/10/09,18625134,297115640,15.9,16.05,15.9,15.9,-0.15,2792
5,107/10/08,24656563,395215777,15.8,16.1,15.8,16.05,0.25,4522
4,107/10/05,29416691,464456986,15.8,15.9,15.65,15.8,-0.1,5001
3,107/10/04,24134811,384486650,16.0,16.05,15.8,15.9,-0.2,4441
2,107/10/03,9111537,146343230,16.05,16.1,16.0,16.1,0.0,2069
1,107/10/02,14766377,236722266,16.1,16.15,15.95,16.1,0.0,3267
0,107/10/01,10126442,163277000,16.1,16.2,16.05,16.1,0.0,2784
18,107/09/28,29428454,475128682,16.35,16.4,15.95,16.1,-0.2,3990
17,107/09/27,23147398,372944712,15.9,16.3,15.9,16.3,0.35,4785
16,107/09/26,8146372,129671111,15.9,15.95,15.9,15.95,-0.05,1787
